bien_id;numero_disposition;lot_1_numero;lot_1_surface_carrez;nombre_lots;type_local;surface_reelle_bati;nombre_pieces_principales;numero_voie;indice_de_repetition;adresse_id;cadastre_id;vente_id
1;1;22;50,42;1;Appartement;52;2;190;A;1;1;1
2;1;12;48,22;2;Appartement;48;3;347;;2;2;2
3;1;146;130,80;2;Appartement;130;6;58;;3;3;3
4;1;11;109,22;1;Maison;109;5;140;;4;4;4
5;1;31;108,65;2;Appartement;91;4;39;;5;5;5
6;1;50;31,65;1;Appartement;32;2;28;;6;6;6
7;1;11;52,58;1;Appartement;52;2;8;;7;7;7
8;1;304;58,71;1;Appartement;60;2;2;;8;8;8
9;1;14;93,23;3;Maison;96;4;1403;;9;9;9
10;1;21;117,00;1;Maison;117;5;226;;10;10;10
11;1;4;35,60;1;Appartement;36;2;276;;11;11;11
12;1;169;138,03;2;Appartement;137;5;79;;12;12;12
13;1;11;42,00;1;Appartement;43;2;77;B;13;13;13
14;1;110;45,36;2;Appartement;45;2;240;;14;14;14
15;1;213;82,60;2;Appartement;84;4;3;;15;15;15
16;1;9;88,11;1;Appartement;88;4;44;;16;16;16
17;1;3;164,87;1;Appartement;143;6;59;;17;17;17
18;1;47;42,20;2;Appartement;42;2;282;;18;18;18
19;1;4;68,11;1;Appartement;65;3;54;;19;19;19
20;1;1;82,59;1;Appartement;75;3;1;;20;20;20
21;1;9;30,23;1;Appartement;30;1;17;;21;21;21
22;1;2;24,80;1;Appartement;25;1;329;;22;22;22
23;1;60;52,60;1;Appartement;52;2;369;;23;23;23
24;1;4;91,69;1;Appartement;88;3;154;;24;24;24
25;1;1;45,54;1;Appartement;45;1;6;;25;25;25
26;1;41;84,24;1;Appartement;83;3;2;;26;26;26
27;1;18;68,23;1;Appartement;68;3;54;;27;27;27
28;1;2;62,03;1;Appartement;64;3;269;;28;28;28
29;1;74;112,93;1;Maison;109;4;322;;29;29;29
30;1;12;131,91;1;Appartement;133;4;132;;30;30;30
31;1;1129;63,58;3;Appartement;63;3;80;;31;31;31
32;1;9;35,86;1;Appartement;50;3;4;;32;32;32
33;1;46;70,09;2;Appartement;74;3;79;;33;33;33
34;1;2;200,00;1;Appartement;121;4;8;;34;34;34
35;1;5;54,84;2;Appartement;62;2;29;;35;35;35
36;1;24;72,75;2;Appartement;73;4;3;;36;36;36
37;1;1;94,09;1;Maison;88;2;956;;37;37;37
38;1;128;71,08;2;Appartement;71;3;1;;38;38;38
39;1;41;97,03;1;Maison;101;4;58;;39;39;39
40;1;54;44,48;1;Appartement;45;2;211;;40;40;40
41;1;15;64,21;1;Appartement;63;2;25;;41;41;41
42;1;62;70,10;2;Maison;68;3;25;;42;42;42
43;1;1;76,70;1;Appartement;90;4;6;;43;43;43
44;1;402;133,77;2;Appartement;120;4;91;;44;44;44
45;1;46;107,61;1;Appartement;106;5;3;;45;45;45
46;1;58;42,78;1;Appartement;43;2;28;;46;46;46
47;1;38;124,55;1;Maison;120;5;312;;47;47;47
