adresse_id;type_voie;nom_voie;code_postal;nom_commune;code_departement
1;RUE;CENTRALE;1370;SAINT-ETIENNE-DU-BOIS;1
2;RUE;DU CHATEAU;1170;CHEVRY;1
3;AV;DU MONT BLANC;1220;DIVONNE-LES-BAINS;1
4;RUE;DE L'ABBE JOLIVET;1630;PERON;1
5;RUE;BUFFON;1200;VALSERHONE;1
6;AV;JEAN FALCONNIER;1350;CULOZ;1
7;RUE;DE GENEVE;1630;ST-GENIS-POUILLY;1
8;RUE;DU RECULET;1630;ST-GENIS-POUILLY;1
9;RUE;JEAN DE GINGINS;1220;DIVONNE-LES-BAINS;1
10;ALL;DES CAPUCINES;1630;ST-GENIS-POUILLY;1
11;RTE;DE POUGNY;1630;PERON;1
12;CRS;DE VERDUN;1100;OYONNAX;1
13;RUE;DU COMMERCE;1130;ST-GERMAIN-DE-JOUX;1
14;RUE;DE PRE BAILLY;1170;GEX;1
15;RUE;TURENNE;1200;VALSERHONE;1
16;ALL;DU SQUARE DE LAUSANNE;1220;DIVONNE-LES-BAINS;1
17;RUE;ALEXANDRE BERARD;1500;AMBERIEU-EN-BUGEY;1
18;CHE;DES LONGES RAYES;1170;CESSY;1
19;GR;GRANDE RUE;1150;SAULT-BRENAZ;1
20;RUE;DE GEX;1210;FERNEY-VOLTAIRE;1
21;LOT;LES JARDINS DE CHEVRY;1170;CHEVRY;1
22;RUE;DES CARPIERES;1170;SEGNY;1
23;AV;CHARLES DE GAULLE;1150;LAGNIEU;1
24;RUE;SUR LA VIGNETTE;1130;LE POIZAT-LALLEYRIAT;1
25;RUE;DES USINIERS;1170;GEX;1
26;RUE;DU JURA;1630;ST-GENIS-POUILLY;1
27;RUE;MARCEL DEMIA;1500;AMBERIEU-EN-BUGEY;1
28;CHE;DE CHARIGNIN;1300;BELLEY;1
29;RUE;DE BRETIGNY;1210;ORNEX;1
30;ALL;DES HETRES;1630;ST-GENIS-POUILLY;1
31;RUE;DE MEYRIN;1210;FERNEY-VOLTAIRE;1
32;RUE;DE LA MAIRIE;1350;CULOZ;1
33;GR;GRANDE RUE DE BULLIEZ;1150;LAGNIEU;1
34;RUE;DE LA BIENNE;1590;DORTAN;1
35;RUE;REINE CLOTILDE;1500;AMBERIEU-EN-BUGEY;1
36;RUE;STE MARIE;1300;BELLEY;1
37;RTE;DE BOURG;1150;LAGNIEU;1
38;AV;DU BIJOU;1210;FERNEY-VOLTAIRE;1
39;CHE;DE LA PLANCHE BRULEE;1210;FERNEY-VOLTAIRE;1
40;RUE;CHANTEPIE;1280;PREVESSIN-MOENS;1
41;RUE;DE LA ROCHE SAMUEL;1110;BRENOD;1
42;RUE;DE LA COMMUNE 1871;1500;AMBERIEU-EN-BUGEY;1
43;;DE LA TOUR;1640;SAINT-JEAN-LE-VIEUX;1
44;CHE;DE LA PLANCHE BRULEE;1210;FERNEY-VOLTAIRE;1
45;RUE;DU DOCTEUR GREZEL;1130;NANTUA;1
46;RUE;DU DOC CHARCOT;1500;SAINT-DENIS-EN-BUGEY;1
47;RUE;DES TERRASSES;1710;THOIRY;1
48;RUE;AMPERE;1100;OYONNAX;1
49;RUE;GERARD DE NERVAL;1100;BELLIGNAT;1
50;RUE;DES HAUTAINS;1630;ST-GENIS-POUILLY;1
51;MAIL;DU NEUTRINO;1280;PREVESSIN-MOENS;1
52;RUE;DE MEYRIN;1210;FERNEY-VOLTAIRE;1
53;RUE;MASONOD;1110;PLATEAU D'HAUTEVILLE;1
54;RUE;DES VERTES CAMPAGNES;1170;GEX;1
