cadastre_id;code_type_voie;code_voie;code_id_commune;prefixe_section;section;numero_plan;nature_culture;nature_culture_speciale;surface_terrain
1;0;5;0;;B;1478;;;
2;0;20;1;;A;302;;;
3;1;527;2;;AK;563;;;
4;0;2;3;;C;2307;;;
5;0;110;4;;AE;440;;;
6;1;179;5;;AP;357;;;
7;0;120;6;;BH;79;;;
8;0;210;6;;AX;8;;;
9;0;465;2;;H;442;;;
10;2;36;6;;AB;387;;;
11;3;210;3;;F;2605;;;
12;4;1490;7;;AN;149;;;
13;0;20;8;;AB;288;;;
14;0;650;9;;AM;11;;;
15;0;541;4;;AI;126;;;
16;2;695;2;;AE;563;;;
17;0;40;10;;AO;539;;;
18;5;130;11;;AT;267;;;
19;6;45;12;;AD;151;;;
20;0;160;13;;AE;51;;;
21;7;A036;1;;B;889;;;
22;0;25;14;;AA;337;;;
23;1;55;15;;F;405;;;
24;0;33;16;300;AI;43;;;
25;0;745;9;;AC;346;;;
26;0;135;6;;BC;108;;;
27;0;455;10;;BP;1064;;;
28;5;191;17;;BK;7;;;
29;0;37;18;;AH;5;;;
30;2;124;6;;BD;338;;;
31;0;170;13;;AE;352;;;
32;0;190;5;;AO;2;;;
33;6;182;15;;F;980;;;
34;0;15;19;;AC;54;;;
35;0;540;10;;BM;70;;;
36;0;730;17;;AH;172;;;
37;3;25;15;;A;1500;;;
38;1;20;13;;AI;495;;;
39;5;55;13;;AD;15;;;
40;0;16;20;;AY;37;;;
41;0;53;21;;AC;368;;;
42;0;246;10;;AP;963;;;
43;8;135;22;;AB;39;;;
44;5;55;13;;AD;78;;;
45;0;270;23;;AB;841;;;
46;0;70;24;;AD;441;;;
47;0;342;25;;BR;145;;;
48;0;40;7;;AB;592;;;
49;0;95;26;;AP;317;;;
50;0;130;6;;AX;158;;;
51;9;77;20;;AP;75;;;
52;0;170;13;;AE;352;;;
53;0;410;27;;B;1054;;;
54;0;755;9;;AP;7;;;
55;5;55;13;;AD;105;;;
56;0;45;6;;AX;1;;;
57;2;201;6;;BD;297;;;
58;0;75;28;;D;619;;;
59;5;752;17;;A;1895;;;
60;3;12;14;;AD;4;;;
61;0;11;9;;AK;164;;;
62;2;295;10;;BD;312;;;
63;0;490;4;;AL;3;;;
64;10;123;18;;AO;290;;;
65;7;A010;11;;AB;22;;;
66;11;240;9;;AI;240;;;
67;12;145;15;;AC;782;;;
68;2;109;20;251;BE;132;;;
69;0;650;9;;AM;301;;;
70;3;55;29;;B;239;;;
71;0;340;4;;AL;61;;;
72;0;275;25;;BR;100;;;
73;0;367;25;;BO;52;;;
74;0;54;30;;AI;200;;;
75;0;398;10;;AO;1046;;;
76;0;161;10;;BR;443;;;
77;0;120;6;;AX;16;;;
