vente_id;date_mutation;nature_mutation;valeur_fonciere
1;2020-02-03 00:00:00;Vente;56000
2;2020-01-02 00:00:00;Vente;165000
3;2020-01-08 00:00:00;Vente;720000
4;2020-01-06 00:00:00;Vente;429250
5;2020-01-07 00:00:00;Vente;220900
6;2020-01-21 00:00:00;Vente;42000
7;2020-01-07 00:00:00;Vente;262000
8;2020-01-08 00:00:00;Vente;190000
9;2020-01-16 00:00:00;Vente;563130
10;2020-01-17 00:00:00;Vente;535000
11;2020-01-16 00:00:00;Vente;330000
12;2020-01-27 00:00:00;Vente;110600
13;2020-01-30 00:00:00;Vente;50000
14;2020-01-09 00:00:00;Vente;212000
15;2020-01-15 00:00:00;Vente;160000
16;2020-01-20 00:00:00;Vente;561550
17;2020-01-28 00:00:00;Vente;358000
18;2020-01-22 00:00:00;Vente;220000
19;2020-01-27 00:00:00;Vente;79300
20;2020-01-06 00:00:00;Vente;285000
21;2020-01-27 00:00:00;Vente;123100
22;2020-01-16 00:00:00;Vente;107500
23;2020-01-30 00:00:00;Vente;128810
24;2020-02-05 00:00:00;Vente;31000
25;2020-01-21 00:00:00;Vente;125000
26;2020-01-31 00:00:00;Vente;285000
27;2020-02-03 00:00:00;Vente;140500
28;2020-01-27 00:00:00;Vente;101050
29;2020-01-31 00:00:00;Vente;530000
30;2020-01-29 00:00:00;Vente;486415
31;2020-01-28 00:00:00;Vente;185000
32;2020-01-16 00:00:00;Vente;131376
33;2020-01-23 00:00:00;Vente;155000
34;2020-01-31 00:00:00;Vente;150000
35;2020-02-03 00:00:00;Vente;67000
36;2020-01-13 00:00:00;Vente;114000
37;2020-02-07 00:00:00;Vente;143850
38;2020-01-23 00:00:00;Vente;237900
39;2020-01-24 00:00:00;Vente;425000
40;2020-02-06 00:00:00;Vente;220000
41;2020-02-07 00:00:00;Vente;55000
42;2020-02-07 00:00:00;Vente;164665
43;2020-02-10 00:00:00;Vente;89000
44;2020-02-06 00:00:00;Vente;475150
45;2020-02-12 00:00:00;Vente;132500
46;2020-02-05 00:00:00;Vente;68000
47;2020-01-30 00:00:00;Vente;570840
48;2020-02-03 00:00:00;Vente;135700
49;2020-02-05 00:00:00;Vente;62500
50;2020-02-03 00:00:00;Vente;332500
51;2020-02-07 00:00:00;Vente;428000
52;2020-01-28 00:00:00;Vente;210000
53;2020-02-12 00:00:00;Vente;50000
54;2020-01-28 00:00:00;Vente;592487
55;2020-02-10 00:00:00;Vente;295000
56;2020-02-12 00:00:00;Vente;133000
57;2020-01-29 00:00:00;Vente;580450
58;2020-02-20 00:00:00;Vente;105500
59;2020-02-04 00:00:00;Vente;152900
60;2020-02-05 00:00:00;Vente;352300
61;2020-02-17 00:00:00;Vente;215000
